 point	      x	      y	  slice
     0	   1333	    113	      1
     1	   1301	    139	      1
     2	   1345	    157	      1
     3	   1324	    164	      1
     4	   1241	    169	      1
     5	   1257	    190	      1
     6	   1308	    191	      1
     7	   1350	    197	      1
     8	   2678	    251	      1
     9	   2640	    296	      1
    10	   2607	    311	      1
    11	   2546	    329	      1
    12	   2607	    339	      1
    13	   2760	    346	      1
    14	   1491	    353	      1
    15	   2567	    366	      1
    16	   2532	    373	      1
    17	   2603	    376	      1
    18	   2622	    380	      1
    19	   1534	    384	      1
    20	   1491	    385	      1
    21	   2558	    393	      1
    22	   2646	    401	      1
    23	   1556	    413	      1
    24	   2600	    412	      1
    25	   1475	    432	      1
    26	   1534	    433	      1
    27	   2519	    432	      1
    28	   1603	    444	      1
    29	   2520	    458	      1
    30	   2611	    472	      1
    31	   2658	    474	      1
    32	   2476	    487	      1
    33	   2504	    526	      1
    34	   2643	    547	      1
    35	   2618	    549	      1
    36	   2439	    566	      1
    37	   2413	    578	      1
    38	   2627	    594	      1
    39	   2400	    609	      1
    40	   2321	    615	      1
    41	   2274	    624	      1
    42	   2412	    635	      1
    43	   2418	    650	      1
    44	   2321	    673	      1
    45	   2350	    689	      1
    46	   4310	    715	      1
    47	   2327	    715	      1
    48	   2364	    719	      1
    49	   2306	    721	      1
    50	   2219	    737	      1
    51	   2266	    738	      1
    52	   4330	    739	      1
    53	   4306	    760	      1
    54	   2321	    757	      1
    55	   2345	    761	      1
    56	   2212	    769	      1
    57	   2245	    772	      1
    58	   4312	    782	      1
    59	   4344	    799	      1
    60	   2432	    812	      1
    61	   4308	    821	      1
    62	   2255	    823	      1
    63	   2232	    841	      1
    64	   2213	    851	      1
    65	   2253	    862	      1
    66	   2166	    865	      1
    67	   2384	    871	      1
    68	   2436	    870	      1
    69	   2462	    875	      1
    70	   2222	    878	      1
    71	   3166	    892	      1
    72	   3146	    920	      1
    73	   3189	    938	      1
    74	   3415	    941	      1
    75	   3151	    950	      1
    76	   3185	    968	      1
    77	   3427	    971	      1
    78	   3408	    992	      1
    79	   3295	    998	      1
    80	   3380	    999	      1
    81	   3193	   1012	      1
    82	   3349	   1012	      1
    83	   3373	   1016	      1
    84	   3224	   1022	      1
    85	   3308	   1020	      1
    86	   3279	   1027	      1
    87	   3354	   1041	      1
    88	   3321	   1051	      1
    89	   3293	   1064	      1
    90	   3325	   1071	      1
    91	   3361	   1076	      1
    92	   3374	   1076	      1
    93	   4742	   1098	      1
    94	   3963	   1117	      1
    95	   4760	   1137	      1
    96	   4677	   1145	      1
    97	   4653	   1164	      1
    98	   3981	   1180	      1
    99	   4695	   1193	      1
   100	   4660	   1196	      1
   101	   4601	   1202	      1
   102	   4641	   1206	      1
   103	   4582	   1209	      1
   104	   3010	   1223	      1
   105	   4555	   1228	      1
   106	   4579	   1234	      1
   107	   4606	   1236	      1
   108	   3029	   1251	      1
   109	   4576	   1250	      1
   110	   3045	   1280	      1
   111	   3033	   1295	      1
   112	   2962	   1299	      1
   113	   2983	   1301	      1
   114	   2961	   1336	      1
   115	   4406	   1338	      1
   116	   2927	   1357	      1
   117	   2949	   1360	      1
   118	   2988	   1364	      1
   119	   2581	   1388	      1
   120	   2552	   1399	      1
   121	   3405	   1398	      1
   122	   3430	   1398	      1
   123	   3477	   1402	      1
   124	   2928	   1408	      1
   125	   4390	   1410	      1
   126	   4441	   1410	      1
   127	   3488	   1420	      1
   128	   4425	   1423	      1
   129	   4397	   1426	      1
   130	   3452	   1426	      1
   131	   4334	   1440	      1
   132	   2662	   1616	      1
   133	   2639	   1631	      1
   134	   2644	   1675	      1
   135	   2675	   1730	      1
   136	   4135	   1877	      1
   137	   4112	   1902	      1
   138	   3417	   2091	      1
   139	   3438	   2107	      1
   140	   3469	   2124	      1
   141	   4615	   2498	      1
   142	   4661	   2515	      1
   143	   4638	   2515	      1
   144	   4556	   2519	      1
   145	   4584	   2523	      1
   146	   4597	   2544	      1
   147	   4568	   2549	      1
   148	   4622	   2568	      1
   149	   4590	   2573	      1
   150	   3567	   2582	      1
   151	   3613	   2634	      1
   152	   4551	   2642	      1
   153	   4512	   2666	      1
   154	   3603	   2675	      1
   155	   3561	   2674	      1
   156	   4462	   2680	      1
   157	   3590	   2703	      1
   158	   3546	   2822	      1
   159	   2377	   2827	      1
   160	   3078	   2847	      1
   161	   2391	   2853	      1
   162	   2413	   2859	      1
   163	   3085	   2895	      1
   164	   2342	   2905	      1
