5376	24
5112	656
5000	1120
4960	1384
5072	1656
5096	2200
5272	2360
5288	2832
5264	3104
5504	3264
5928	3456
5952	3760
5944	5424
5280	5376
5008	5616
4896	6112
4808	6376
4728	7000
4352	7000
4208	7040
4096	7216
3776	7160
3384	7096
3128	6928
2864	6872
2696	6616
2760	6400
2520	6200
2152	6224
1896	6160
1584	6208
1384	6376
1208	6144
1208	5792
1184	5520
1328	5256
1496	5080
1352	4568
1144	4272
1168	4000
1104	3816
1160	3520
1280	3352
1472	3024
1504	2816
1592	2664
1440	2312
1400	2000
1448	1688
1704	1536
1848	1552
2016	1544
2024	1264
1960	1072
1856	952
1672	872
1400	728
1272	448
1024	328
768	360
584	456
472	440
520	128
648	0
2776	8
